State,LimitingMag,BortleClass
Alabama,1.97,9
Alaska,5.00,7
Arizona,3.28,8
Arkansas,3.20,8
California,2.28,9
Colorado,3.23,8
Connecticut,2.45,9
Delaware,4.00,8
District of Columbia,3.50,8
Florida,2.19,9
Georgia,2.54,9
Hawaii,2.71,9
Idaho,3.22,8
Illinois,1.53,9
Indiana,3.00,9
Iowa,1.50,9
Kansas,2.64,9
Kentucky,3.41,8
Louisiana,2.14,9
Maine,4.21,7
Maryland,2.25,9
Massachusetts,2.62,9
Michigan,2.97,9
Minnesota,2.83,9
Mississippi,2.45,9
Missouri,3.20,8
Montana,1.88,9
Nebraska,2.83,9
Nevada,5.38,6
New Hampshire,2.45,9
New Jersey,3.34,8
New Mexico,4.61,7
New York,2.25,9
North Carolina,2.48,9
North Dakota,5.50,6
Ohio,2.15,9
Oklahoma,2.73,9
Oregon,2.45,9
Pennsylvania,2.58,9
Rhode Island,0.94,9
South Carolina,2.38,9
South Dakota,5.17,6
Tennessee,2.56,9
Texas,2.74,9
Utah,3.76,8
Vermont,3.55,8
Virginia,3.19,8
Washington,2.11,9
West Virginia,3.51,8
Wisconsin,2.84,9
Wyoming,4.67,7
